TAIL_NUM,MFR,MODEL,YEAR MFR
N329NW,AIRBUS INDUSTRIE,A320-211,1992
N121AN,AIRBUS,A321-231,2014
N394FR,AIRBUS,A320-251N,2022
N936NN,BOEING,737-823,2013
N71411,BOEING,737-924,2002
N339JB,EMBRAER,ERJ 190-100 IGW,2011
N964NK,AIRBUS,A320-271N,2022
N484UA,AIRBUS INDUSTRIE,A320-232,2001
N315PE,BOEING,737-800,2017
N183GJ,BOMBARDIER INC,CL-600-2D24,2008
N231JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
N343DN,AIRBUS,A321-211,2018
N184JB,EMBRAER,ERJ 190-100 IGW,2005
N27268,BOEING,737-8,2022
N401UA,AIRBUS INDUSTRIE,A320-232,1993
N296AK,BOEING,737-900ER,2018
N9029F,AIRBUS,A319-115,2015
N977NN,BOEING,737-823,2015
N839UA,AIRBUS INDUSTRIE,A319-131,2001
N76505,BOEING,737-824,2006
N3008J,AIRBUS CANADA LP,BD-500-1A11,2020
N205JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
N973AN,BOEING,737-823,2001
N3023J,AIRBUS CANADA LP,BD-500-1A11,2021
N811UA,AIRBUS INDUSTRIE,A319-131,1998
N307JB,EMBRAER,ERJ 190-100 IGW,2009
N979NN,BOEING,737-823,2015
N78540,BOEING,737-800,2017
N437UA,AIRBUS INDUSTRIE,A320-232,1997
N37508,BOEING,737-9,
N993NN,BOEING,737-823,2016
N8784Q,BOEING,737-8,2022
N302PQ,BOMBARDIER INC,CL-600-2D24,2014
N8782Q,BOEING,737-8,2022
N324US,AIRBUS INDUSTRIE,A320-211,1991
N8779Q,BOEING,737-8,2022
N265AK,BOEING,737-900ER,2016
N135EV,BOMBARDIER INC,CL-600-2D24,2009
N8783L,BOEING,737-8,2022
N958NK,AIRBUS,A320-271N,2022
N37513,BOEING,737-9,2019
N709SK,BOMBARDIER INC,CL-600-2C10,2004
309NV,AIRBUS,A319-111,2007
N314PQ,BOMBARDIER INC,CL-600-2D24,2014
N936AK,BOEING,737-9,2022
N38727,BOEING,737-724,1999
N335PQ,BOMBARDIER INC,CL-600-2D24,2014
N208JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
N944NN,BOEING,737-823,2014
N309DN,AIRBUS SAS,A321-213,2016
N393FR,AIRBUS,A320-251N,2022
N17719,BOEING,737-724,1999
N8786Q,BOEING,737-8,2022
N235JQ,EMBRAER,ERJ 170-200 LR,2008
N952AK,BOEING,737-9,2022
N314DN,AIRBUS SAS,A321-213,2016
N78438,BOEING,737-924ER,2009
N1806U,BOEING,737-8,2022
N830NN,BOEING,737-823,2010
N803AW,AIRBUS INDUSTRIE,A319-132,1998
N47533,BOEING,737-9,2022
N849UA,AIRBUS INDUSTRIE,A319-131,2002
N545US,BOEING,757-251,1996
N354NB,AIRBUS,A319-114,2002
N37464,BOEING,737-924ER,2012
N842UA,AIRBUS INDUSTRIE,A319-131,2001
N547US,BOEING,757-251,1996
N8836Q,BOEING,737-8,2023
N8837Q,BOEING,737-8,2023
N69888,BOEING,737-924ER,2015
N823DX,BOEING,757-26D,2005
N8834L,BOEING,737-8,2022
N8832H,BOEING,737-8,2022
N474UA,AIRBUS INDUSTRIE,A320-232,2001
N913AK,BOEING,737-9,2021
N3115J,AIRBUS CANADA LP,BD-500-1A11,2022
N210NN,EMBRAER S A,ERJ 170-200 LR,2015
N548US,BOEING,757-251,1996
N217JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007
N703TW,BOEING,757-2Q8,1996
N766JM,EMPRESA BRASILEIRA DE AERO S A,ERJ 170-100 STD,2009
N768RD,EMBRAER S A,ERJ 170-100 LR,2008
N3085J,AIRBUS CANADA LP,BD-500-1A11,2021
N354PT,BOEING,737-800,2017
N297AK,BOEING,737-900ER,2019
N841UA,AIRBUS INDUSTRIE,A319-131,2001
N596AS,BOEING,737-890,2008
N893UA,AIRBUS,A319-132,2006
N303RE,BOEING,737-8,2018
N61898,BOEING,737-900ER,2016
N273JB,EMBRAER,ERJ 190-100 IGW,2007
N6702,BOEING,757-232,1999
N542US,BOEING,757-251,1996
N921AK,BOEING,737-9,
N658DL,BOEING,757-232,1990
N538CA,BOMBARDIER INC,CL-600-2D24,2008
N155NN,AIRBUS,A321-231,2016
N6716C,BOEING,757-232,2001
N277NN,EMBRAER S A,ERJ 170-200 LR,2019
N232JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
N814UA,AIRBUS INDUSTRIE,A319-131,1998
N932AN,BOEING,737-823,2000
N690DL,BOEING,757-232,1998
N306JB,EMBRAER,ERJ 190-100 IGW,2009
N8833L,BOEING,737-8,2022
N822DX,BOEING,757-26D,2005
N27509,BOEING,737-9,2018
N8835Q,BOEING,737-8,2022
N244JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
N669AW,AIRBUS,A320-232,2002
N959AN,BOEING,737-823,2001
N535US,BOEING,757-251,1995
N840UA,AIRBUS INDUSTRIE,A319-131,2001
N68807,BOEING,737-924ER,2013
N8824Q,BOEING,737-8,2022
N929AK,BOEING,737-9,2021
N965NK,AIRBUS,A320-271N,2022
N68842,BOEING,737-924ER,2015
N360NW,AIRBUS INDUSTRIE,A320-212,1998
N8825Q,BOEING,737-8,2022
N935AN,BOEING,737-823,2000
N597AS,BOEING,737-890,2008
N1811U,BOEING,737-8,2022
N8796L,BOEING,737-8,2022
N659DL,BOEING,757-232,1990
N69885,BOEING,737-924ER,2015
N8830Q,BOEING,737-8,2022
N349NW,AIRBUS INDUSTRIE,A320-212,1993
N328RR,BOEING,737-8,2018
N462AS,BOEING,737-990ER,2014
N8831L,BOEING,737-8,2023
N693DL,BOEING,757-232,1998
N231AN,EMBRAER S A,ERJ 170-200 LR,2016
N433UA,AIRBUS INDUSTRIE,A320-232,1996
N975NK,AIRBUS,A320-271N,2022
N649AW,AIRBUS INDUSTRIE,A320-232,1998
N102UW,AIRBUS INDUSTRIE,A320-214,1998
N3014R,AIRBUS,A319-115,2013
N324JB,EMBRAER,ERJ 190-100 IGW,2010
N307DX,AIRBUS SAS,A321-213,2016
N8840Q,BOEING,737-8,2023
N8774Q,BOEING,737-8,2023
N6704Z,BOEING,757-232,2000
N971NN,BOEING,737-823,2015
N6715C,BOEING,757-232,2001
N971NK,AIRBUS SAS,A320-271N,2022
N8843S,BOEING,737-8,2023
N334JB,EMBRAER,ERJ 190-100 IGW,2011
N271NN,EMBRAER S A,ERJ 170-200 LR,2019
N688DL,BOEING,757-232,1998
N543US,BOEING,757-251,1996
N9011P,AIRBUS,A319-115,2013
N6710E,BOEING,757-232,2000
N8844Q,BOEING,737-8,2023
N37537,BOEING,737-9,2022
N915AN,BOEING,737-823,1999
N363NW,AIRBUS INDUSTRIE,A320-212,1998
190NV,AIRBUS,A320-214,2015
205NV,AIRBUS,A320-214,2013
N9010R,AIRBUS,A319-115,2013
N8851Q,BOEING,737-8,2023
N37548,BOEING,737-9,2022
N639JB,AIRBUS,A320-232,2006
N241NN,EMBRAER S A,ERJ 170-200 LR,2016
N220JQ,EMBRAER,ERJ 170-200 LR,2007
N57439,BOEING,737-924ER,2009
N549US,BOEING,757-251,1996
N974NK,AIRBUS SAS,A320-271N,2023
N24736,BOEING,737-724,1999
N68801,BOEING,737-924ER,2013
N38451,BOEING,737-924ER,2012
N8838Q,BOEING,737-8,2023
N124US,AIRBUS INDUSTRIE,A320-214,2000
N972AK,BOEING,737-9,2021
N663AW,AIRBUS INDUSTRIE,A320-232,2001
N37540,BOEING,737-9,2022
N605FR,AIRBUS,A321-271NX,2022
N8842L,BOEING,737-8,2023
N37514,BOEING,737-9,2019
N607FR,AIRBUS,A321-271NX,2022
N69829,BOEING,737-924ER,2014
N349DX,AIRBUS,A321-211,2018
N215AK,BOEING,737-900ER,2019
N9023N,AIRBUS,A319-115,2014
N28478,BOEING,737-924ER,2013
N6712B,BOEING,757-232,2000
N613FR,AIRBUS,A321-271NX,2023
N8839Q,BOEING,737-8,2023
N464UA,AIRBUS INDUSTRIE,A320-232,2000
N282AK,BOEING,737-900ER,2017
N37545,BOEING,737-9,2022
N37408,BOEING,737-924,2001
N9018E,AIRBUS,A319-115,2014
N325US,AIRBUS INDUSTRIE,A320-211,1991
N402AS,BOEING,737-990ER,2012
N554NW,BOEING,757-251,2001
N821DX,BOEING,757-26D,2004
N819DX,BOEING,757-26D,2004
N880RW,EMBRAER,ERJ 170-100 LR,
N27477,BOEING,737-924ER,2013
N9002U,AIRBUS,A319-115,2013
N371DA,BOEING,737-832,1998
N896AT,BOEING,717-200,2005
N386DA,BOEING,737-832,1999
N3077J,AIRBUS CANADA LP,BD-500-1A11,2021
N607AT,BOEING,717-200,2000
N362NW,AIRBUS INDUSTRIE,A320-212,1998
N39415,BOEING,737-924ER,2008
N812UA,AIRBUS INDUSTRIE,A319-131,1998
N37534,BOEING,737-9,2022
N184GJ,BOMBARDIER INC,CL-600-2D24,2008
N62895,BOEING,737-900ER,2016
N9013A,AIRBUS,A319-115,2013
N273AK,BOEING,737-900ER,2017
N323RM,BOEING,737-8,2018
N8793Q,BOEING,737-8,2022
N8027D,AIRBUS,A319-115,2015
N942AK,BOEING,737-9,
N8822Q,BOEING,737-8,2022
N123DW,AIRBUS,A321-211,2021
N301NB,AIRBUS INDUSTRIE,A319-114,1999
N3058J,AIRBUS CANADA LP,BD-500-1A11,2021
N348NW,AIRBUS INDUSTRIE,A320-212,1993
N374DA,BOEING,737-832,1998
N9022G,AIRBUS,A319-115,2014
N930AT,BOEING,717-200,2000
N352NB,AIRBUS,A319-114,2002
N328NB,AIRBUS INDUSTRIE,A319-114,2001
N1808U,BOEING,737-8,2022
N8829Q,BOEING,737-8,2022
N247NN,EMBRAER,ERJ 170-200 LR,2016
N8826Q,BOEING,737-8,2022
N37541,BOEING,737-9,2022
N313DU,AIRBUS CANADA LP,BD-500-1A11,2022
N858NN,BOEING,737-823,2010
N8820L,BOEING,737-8,2022
N1810U,BOEING,737-8,2022
N6706Q,BOEING,757-232,2000
N129AA,AIRBUS,A321-231,2014
N3759,BOEING,737-832,2001
N37409,BOEING,737-924,2001
N3772H,BOEING,737-832,2010
N823MD,EMBRAER,ERJ 170-100SU,2005
N979AN,BOEING,737-823,2009
N372DA,BOEING,737-832,1998
N88332,EMBRAER S A,ERJ 170-200 LR,2015
N541US,BOEING,757-251,1996
N135NN,AIRBUS,A321-231,2015
N27734,BOEING,737-724,1999
N670DN,BOEING,757-232,1992
N134EV,BOMBARDIER INC,CL-600-2D24,2009
N39418,BOEING,737-924ER,2008
N8781Q,BOEING,737-8,2022
N757UW,AIRBUS INDUSTRIE,A319-112,2000
N88327,EMBRAER S A,ERJ 170-200 LL,2015
N76529,BOEING,737-824,2010
N8827Q,BOEING,737-8,2022
N218NN,EMBRAER S A,ERJ 170-200 LR,2015
N8819L,BOEING,737-8,2022
N973AK,BOEING,737-9,2021
N8823Q,BOEING,737-8,2022
N8791D,BOEING,737-8,2022
N875RW,EMBRAER,ERJ 170-100 LR,2007
N66848,BOEING,737-924ER,2015
N962AN,BOEING,737-823,2001
N9016,AIRBUS,A319-115,2014
N890UA,AIRBUS,A319-132,2006
N966NK,AIRBUS SAS,A320-271N,2022
N68817,BOEING,737-924ER,2014
N328NW,AIRBUS INDUSTRIE,A320-211,1992
N314NB,AIRBUS INDUSTRIE,A319-114,2000
N81449,BOEING,737-924ER,2012
N834UA,AIRBUS INDUSTRIE,A319-131,2001
N377DN,AIRBUS,A321-211,2019
N451UA,AIRBUS INDUSTRIE,A320-232,1998
N956AN,BOEING,737-823,2001
N996AT,BOEING,717-200,2002
N807UA,AIRBUS INDUSTRIE,A319-131,1998
N68836,BOEING,737-924ER,2014
N333NB,AIRBUS INDUSTRIE,A319-114,2001
N3755D,BOEING,737-832,2001
N967NK,AIRBUS,A320-271N,2022
N8001N,AIRBUS,A319-115,2013
N329DN,AIRBUS SAS,A321-213,2017
N275NN,EMBRAER S A,ERJ 170-200 LR,2019
N8795L,BOEING,737-8,2022
N3118J,AIRBUS CANADA LP,BD-500-1A11,2022
N266JB,EMBRAER,ERJ 190-100 IGW,2007
N369DN,AIRBUS,A321-211,2019
N27546,BOEING,737-9,2022
N3764D,BOEING,737-832,2001
N604FR,AIRBUS,A321-271NX,2022
N66814,BOEING,737-924ER,2014
N63890,BOEING,737-924ER,2015
N820DX,BOEING,757-26D,2004
N200NN,EMBRAER S A,ERJ 170-200 LR,2015
N532AS,BOEING,737-890,2010
N837AW,AIRBUS,A319-132,2005
N847NN,BOEING,737-823,2010
N608AT,BOEING,717-200,2000
N362NB,AIRBUS,A319-114,2003
N69833,BOEING,737-924ER,2014
N477UA,AIRBUS INDUSTRIE,A320-232,2001
N438UA,AIRBUS INDUSTRIE,A320-232,1997
N359NB,AIRBUS,A319-114,2003
N37538,BOEING,737-9,
N3741S,BOEING,737-832,2001
N279MQ,EMBRAER S A,ERJ 170-200 LR,2019
N944AT,BOEING,717-200,1999
N3730B,BOEING,737-832,2000
N37470,BOEING,737-924ER,2013
N883UA,AIRBUS,A319-132,2005
N283NN,EMBRAER S A,ERJ 170-200 LR,2019
N291BT,BOEING,737-9,2021
280NV,AIRBUS,A320-214,
N37422,BOEING,737-924ER,2008
N225NN,EMBRAER S A,ERJ 170-200 LR,2016
N954AN,BOEING,737-823,2001
N972NK,AIRBUS,A320-271N,2022
N8790Q,BOEING,737-8,2022
N64809,BOEING,737-924ER,2013
N365DN,AIRBUS SAS,A321-213,2018
N66837,BOEING,737-924ER,2014
N217NN,EMBRAER S A,ERJ 170-200 LR,2015
N101DQ,AIRBUS,A321-211,2020
N937AT,BOEING,717-200,2001
N8794Q,BOEING,737-8,2022
N93003,AIRBUS,A319-115,2013
N334SM,BOEING,737-8,2021
N77544,BOEING,737-9,2022
N752YX,EMBRAER S A,ERJ 170-200 LR,2017
N846UA,AIRBUS INDUSTRIE,A319-131,2001
N3739P,BOEING,737-832,2000
N61886,BOEING,737-924ER,2015
N941AN,BOEING,737-823,2000
N215JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2009
N339DN,AIRBUS SAS,A321-213,2018
N838AW,AIRBUS,A319-132,2005
N193UW,AIRBUS,A321-211,2008
N676CA,BOMBARDIER INC,CL-600-2D24,2007
N536UW,AIRBUS,A321-231,2009
N318DX,AIRBUS SAS,A321-213,2017
N841NN,BOEING,737-823,2010
253NV,AIRBUS,A320-214,2017
N570AS,BOEING,737-890,2007
N8763L,BOEING,737-8,2022
N957NN,BOEING,737-823,2014
N24212,BOEING,737-824,1998
N337DN,AIRBUS SAS,A321-213,2018
N348PQ,BOMBARDIER INC,CL-600-2D24,2015
N801AW,AIRBUS INDUSTRIE,A319-132,1998
N367DN,AIRBUS,A321-211,2019
N926UW,AIRBUS,A321-231,2015
N848UA,AIRBUS INDUSTRIE,A319-131,2002
N886NN,BOEING,737-823,2012
N76265,BOEING,737-824,2001
N975AN,BOEING,737-823,2001
N472AS,BOEING,737-990ER,2015
286NV,AIRBUS,A320-214,2010
N27239,BOEING,737-824,1999
N383DZ,AIRBUS,A321-211,2019
N808AW,AIRBUS INDUSTRIE,A319-132,1999
N316PQ,BOMBARDIER INC,CL-600-2D24,2014
N8734Q,BOEING,737-8,2019
N247AK,BOEING,737-990ER,2016
N328DN,AIRBUS SAS,A321-213,2017
N918US,AIRBUS,A321-231,2015
N836NN,BOEING,737-823,2010
N563UW,AIRBUS,A321-231,2012
N228PQ,BOMBARDIER INC,CL-600-2D24,2009
N922US,AIRBUS,A321-231,2015
N996NN,BOEING,737-823,2016
N8761L,BOEING,737-8,2022
N883NN,BOEING,737-823,2012
N306SP,BOEING,737-8,2021
N878UA,AIRBUS,A319-132,2005
N632SK,BOMBARDIER INC,CL-600-2C10,2011
N899NN,BOEING,737-823,2012
N364DX,AIRBUS SAS,A321-213,2018
N157UW,AIRBUS,A321-211,2013
N847DN,BOEING,737-932ER,2015
N807AW,AIRBUS INDUSTRIE,A319-132,1999
N116DN,AIRBUS SAS,A321-211,2021
N12216,BOEING,737-824,1998
N914UY,AIRBUS,A321-231,2014
N709EV,BOMBARDIER INC,CL-600-2C11,2002
301NV,AIRBUS,A319-112,2004
N358PW,BOEING,737-800,2017
N579NN,BOMBARDIER INC,CL-600-2D24,2015
N815DN,BOEING,737-932ER,2014
N107SY,EMBRAER S A,ERJ 170-200 LR,2014
N538AS,BOEING,737-890,2012
N745SK,BOMBARDIER INC,CL-600-2C10,2005
N107US,AIRBUS INDUSTRIE,A320-214,1999
209NV,AIRBUS,A320-214,2013
N491UA,AIRBUS,A320-232,2002
N363FR,AIRBUS,A320-251N,2019
N825NN,BOEING,737-823,2010
N235FR,AIRBUS,A320-214,2016
N348DN,AIRBUS,A321-211,2018
N475UA,AIRBUS INDUSTRIE,A320-232,2001
N816AW,AIRBUS INDUSTRIE,A319-132,2000
N578UW,AIRBUS INDUSTRIE,A321-231,2014
N903XJ,BOMBARDIER INC,CL-600-2D24,2007
229NV,AIRBUS,A320-214,1997
N264AK,BOEING,737-990ER,2016
N375JB,EMBRAER,ERJ 190-100 IGW,2013
N3740C,BOEING,737-832,2000
N561UW,AIRBUS,A321-231,2012
N881NN,BOEING,737-823,2011
N302DN,AIRBUS SAS,A321-213,2016
N12218,BOEING,737-824,1998
N206JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
N3762Y,BOEING,737-832,2001
N387DN,AIRBUS,A321-211,2019
N221JQ,EMBRAER,ERJ 170-200 LR,2007
N434UA,AIRBUS INDUSTRIE,A320-232,1996
N380DN,AIRBUS,A321-211,2019
N14237,BOEING,737-824,1999
N390DN,AIRBUS,A321-211,2019
N902BC,EMBRAER,EMB-145LR,2005
N870DN,BOEING,737-900ER,2017
N78524,BOEING,737-824,2010
N860NN,BOEING,737-823,2010
N279JB,EMBRAER,ERJ 190-100 IGW,2007
N351DN,AIRBUS,A321-211,2018
N213JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
N966NN,BOEING,737-823,2015
N345DN,AIRBUS,A321-211,2018
N392FR,AIRBUS,A320-251N,
N37267,BOEING,737-824,2001
N758US,AIRBUS INDUSTRIE,A319-112,2000
N395DN,BOEING,737-832,2000
N311DN,AIRBUS SAS,A321-213,2016
N930NN,BOEING,737-823,2013
N182GJ,BOMBARDIER INC,CL-600-2D24,2008
